CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,MUCHINDRA,532312,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,19.1247510,84.6564130
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Gorlapadu B.O,532290,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9756667,84.5805277
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Makarampuram B.O,532290,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9756667,84.5805277
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Gangaram B.O,532195,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5185277,84.1520550
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Jarjangi B.O,532195,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5185277,84.1520550
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Kotabomma R.S. B.O,532195,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5185277,84.1520550
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Sondipudi B.O,532242,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.8715277,84.4615110
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Borivanka B.O,532292,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9517770,84.6317220
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Isakalapalem B.O,532292,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9517770,84.6317220
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Dolagovindapuram B.O,532291,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,19.0006944,84.5674166
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Kesaripada B.O,532291,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,19.0006944,84.5674166
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Mundala B.O,532291,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,19.0006944,84.5674166
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Dandugopalapuram B.O,532212,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5771660,84.2844722
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Dimilada B.O,532212,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5771660,84.2844722
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Jandapeta B.O,532212,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5771660,84.2844722
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Ravivalasa B.O,532212,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5771660,84.2844722
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Marripadu B.O,532211,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.2962500,83.8936944
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Meghavaram B.O,532211,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.2962500,83.8936944
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Kedaripuram B.O,532221,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7745000,84.4101110
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Rentikota B.O,532221,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7745000,84.4101110
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Tarlakota B.O,532221,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7745000,84.4101110
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Amalapadu B.O,532218,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.6661110,84.3686380
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Buragam B.O,532284,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9460550,84.5854444
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Aitam Engg.College B.O,532203,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.6068333,84.2365550
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Chakipalli B.O,532203,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.6068333,84.2365550
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Dimidijola B.O,532203,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.6068333,84.2365550
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Nowgam B.O,532203,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.6068333,84.2365550
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Rangoi B.O,532243,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.8486660,84.5038611
